タイムスタンプ,ジョーズ,紅の豚,サマーウォーズ,時をかける少女,グレイテストショーマン,風立ちぬ,ノーゲイム・ノーライフ,シンゴジラ,ゼログラビティ,アナと雪の女王,君の名は,タイタニック,ベイマックス,ミニオンズ,美女と野獣,ナルニア国物語,少林サッカー,探偵はbarにいる,シェイプオブウォーター,聲の形,言の葉の庭,マレフィセント,アナコンダ,ピンポン,時計じかけのオレンジ,シャイニング,図書館戦争,英国王のスピーチ,羊たちの沈黙,プレデターズ,猿の惑星,寄生獣,レッドクリフ,キングスマン,アメリカン・スナイパー,天使にラブソングを,アルマゲドン,フォレストガンプ,インターステラー,フルメタル・ジャケット,ジョニーは戦場へ行った,戦慄の楽譜,アオハライド,ララランド,シックスセンス,バタフライ・エフェクト,はじまりのうた,パシフィックリム,セブン,本能寺ホテル,インセプション,アイ、ロボット,マトリックス,土竜の唄,アントマン,未来のミライ,シンドラーのリスト,エクス・マキナ,海猿,デスノート,オブリビオン,あゝ荒野,バクマン。,ひるね姫 ～知らないワタシの物語～,イミテーションゲーム,舟を編む,ガールズ＆パンツァー 劇場版,ストロベリーナイト,海街diary,トイ・ストーリー,プラダを着た悪魔,きっと、うまくいく,海月姫
2019/04/10 2:32:36 午後 GMT+9,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/04/10 2:32:38 午後 GMT+9,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019/04/10 2:32:45 午後 GMT+9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019/04/10 2:32:49 午後 GMT+9,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019/04/10 2:32:49 午後 GMT+9,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2019/04/10 2:32:54 午後 GMT+9,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/04/10 2:32:56 午後 GMT+9,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0
2019/04/10 2:32:57 午後 GMT+9,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2019/04/10 2:32:57 午後 GMT+9,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019/04/10 2:32:59 午後 GMT+9,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
